Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
3297.797519221409,27886.758440233665,36593.02,8683.217912885335,14796.40063157306,,1784.3474892258432,Unloaded,31063.873676187824,,2394.6824,14100
25938.538821631275,-4084.922854,5497.307,13905.576590769411,16679.15882358641,,25859.31918487244,Unloaded,30881.577771680444,,3976.0574,24800
3292.0597865009026,35128.109155157494,3026.1199,8668.169539501072,15601.535074381425,,2226.1707299153954,Unloaded,30985.74690483749,,2281.3699,13200
2963.314093198674,53922.8473,3026.1199,7801.5253232847535,16139.72248031749,,1597.8876290902856,Unloaded,30933.66233825896,,15305.394,11300
3787.3369508375195,16395.250271927696,3549.073,9972.806701926605,15332.86346065456,,1710.2796458007028,Unloaded,31011.789109609294,,2936.2214,16200
24438.258511357177,-20869.89371,22309.252,10494.287456606055,10034.80244178649,,24470.768851992467,Unloaded,31532.634775394647,,4767.8774,22700
10126.764534189873,56976.785730537114,6932.1274,26679.023905337926,20755.450363383297,,5690.542726420946,Unloaded,30490.943600858853,,5937.7837,50800
7095.704445419754,-6355.83395,4275.6587,14692.991941148102,16139.72248031749,,2733.4021807264985,Unloaded,30933.66233825896,,4519.2837,26100
5232.098105330686,401.4369919459132,5029.776,13779.46355278747,17761.21319,,3197.944029908286,Unloaded,30777.408638523353,,3608.7449,23500
6877.792394961426,-1379.754163,16101.745,14241.179083195497,17761.21319,,7207.480630559297,Unloaded,30777.408638523353,,3777.1824,23300
4721.028886085598,-2909.369394,5997.565,12433.594015172588,15601.535074381425,,2400.0275673969377,Unloaded,30985.74690483749,,3809.0261,21300
5356.286588534398,6936.5906948920165,12013.675,14106.759322814594,19663.681697988515,,11919.00309374164,Unloaded,30595.112734015944,,3321.8699,21700
8564.527441527152,21073.905153035594,5024.5728,22561.45072849867,21575.532674274848,,3934.456825815794,Unloaded,30412.816672473593,,4685.057,37100
3875.0709918658376,13792.129252132887,3674.362,10203.997608151976,15332.86346065456,,2394.049878584218,Unloaded,31011.789109609294,,3045.8542,16600
8364.405028937903,34906.19081224277,5034.7603,22030.186676744892,41280.90525207524,,2379.1294454033628,Unloaded,28511.730227909415,,3184.6042,23300
5590.871362856728,-7736.582906,5070.5493,14726.469879297738,15064.481680991159,,3666.5157124496704,Unloaded,31037.831471416037,,4841.4243,27700
23711.17548,-13199.13595,5350.471,13157.180383461653,11081.724680803469,,4011.356622000008,Unloaded,31428.46564,,5489.393,30400
3007.2115054890146,4313.165211691914,37724.754,7918.432254,11081.724680803469,,1581.8559223970258,Unloaded,31428.46564,,2900.9167,14300
3607.4415794426586,-14315.90669,3462.2917,9500.305977618946,10557.401398286676,,2588.845872322262,Unloaded,31480.55020881613,,3906.737,19300
3405.0051138695344,40569.26870277121,4067.5652,8965.024901631174,16679.15882358641,,2141.6627602867025,Unloaded,30881.577771680444,,2494.2605,13900
3944.502654365142,9839.811116420024,3674.362,10387.61767661809,15064.481680991159,,2639.816013923338,Unloaded,31037.831471416037,,3164.0496,17200
4014.5796594947005,547.7330756952579,4854.1665,10572.21784475985,13994.323760145207,,2547.1294777165435,Unloaded,31142.0006,,3426.9011,18500
4086.800032971442,17697.627686877895,5013.1587,10762.015940658332,16679.15882358641,,2473.403555606213,Unloaded,30881.577771680444,,2879.0886,17300
