GasFlowrate,y_pred
18300.0,51283.44593893965
33600.0,51231.099880560854
21900.0,51056.61284393878
16083.9691,72991.98611951547
13308.91809,228587.2829645921
14158.4235,214794.19923312665
162538.7018,235947.12991206616
11808.1252,72559.6840021062
110152.5348,241922.1193264727
12516.04637,72975.7284843153
78720.83466,243988.2396247163
46382.99539,245384.2637498402
11326.7388,225843.57082758707
22653.4776,171293.31655430136
20161.59506,73724.60800787236
45505.17313,107387.45738915677
121762.4421,253514.60784416323
37180.02011,110034.71238593984
21945.55643,110400.45199686717
35311.10821,111010.01720114716
38397.64453,112089.8186992199
38652.49616,116966.34033345993
156110.7775,277026.79676958243
137138.49,280709.8095732273
125755.1175,284063.0034789077
83959.45136,79599.15206796183
70027.56263,81546.23906253274
127001.0588,61287.625647284905
117514.9151,257469.32995851096
100553.1237,258849.81132798968
124877.2953,61545.65964541155
85205.39262,260690.45458764822
181879.1083,275749.85650708515
125698.4838,83210.41582475629
48478.44206,83684.7061767134
83506.3818,83917.69082231825
97976.29062,84075.78786555125
141527.6013,286453.06288964656
245563.6972,84500.15301963681
105961.6415,62577.79563791818
70848.75119,84716.4959326178
50885.37406,84999.4057760942
32224.57189,85057.65203471316
280251.8348,320783.2038713823
255955.98,322157.46383725153
263035.1918,322982.0187891718
231773.3927,323256.8712961463
232481.3139,325180.83370696136
333204.3386,321249.12832779175
189779.5086,327764.4390517114
116778.677,297450.8545971202
101884.0155,63613.84113679547
67535.6801,86611.27331687103
212489.6199,303686.2080268165
181369.405,303980.7910572003
155770.9753,304324.47240657883
194565.0557,64008.71132943964
279204.1114,333150.83989376307
82402.02477,64082.99396032365
55472.70327,87753.6185528411
276004.3077,334936.09662865876
238031.4159,335747.57650301757
201304.4653,336450.86175761226
31601.60125,88660.5947307602
228148.8363,339290.30219434184
180123.4638,340129.5723754338
164804.0495,64794.54220835729
51083.59199,89326.26559119803
188420.2999,89376.19078906954
126604.6229,90258.20456248836
43891.11285,90499.51026884062
55019.63372,65451.35608821162
68611.72028,65482.63287002837
97296.68629,90957.15888817387
117231.7466,65768.0341436011
145435.3262,91739.32187697862
83223.21333,66268.46374894603
45193.68781,66389.66155255516
109387.98,342514.8921156435
85630.14533,344473.64371269656
110917.0897,93228.76025221628
99590.3509,150457.5992248314
94889.7543,151624.4816989248
72123.00931,153714.41942589448
70877.06804,154289.1524025527
115957.4885,231395.93758283323
92426.18861,231835.96262865706
82543.60901,155769.5249252424
64024.39107,155908.8546496618
73935.28752,233156.03913708095
82855.09432,97805.24644554881
78409.34934,97979.98522140566
72830.93048,98121.44014314385
50743.78982,98562.44702985325
51366.76046,159426.91696485458
58587.55644,98820.39446882936
43183.19168,99244.75962291489
110152.5348,160733.12834943522
90104.20715,161238.19687084982
105508.5719,99685.76650962431
71981.42507,161603.9356678449
70622.21642,100626.02615279112
220644.8718,107299.37532318014
176159.1052,109055.08180927036
136770.371,110261.60995216065
95597.67547,111301.72076881246
196688.8193,226740.34131697082
138639.2829,236232.14328525343
98316.09278,240847.42361929588
