Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness,Qcr,ΔQ
23,0.0889,30,0.06,13900.0,0.006207167,1.02484,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.12,0.00819633,Loaded,25.91820068640009,0.000111877125265,0.682287123513835,3686604.865633549,0.0002701853272038,0.0001350926636019,0.0001396958344885,0.0001531916486596,0.0001746603886823,0.0002026389954028,0.0002701853272038,0.0003377316590047,0.0003871790057479,0.0004052779908057,0.0003871790057479,0.0002701853272038,0.0001350926636019,0.011863171726432,0.0004052779908057,229045.24634502822,215145.24634502822
24,0.060325,35,0.16,7800.0,0.002858147,1.10194,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.36,0.008844822,Loaded,31.58591912872221,0.0006479162898199,2.6812687425804205,3048672.914304268,0.0002929599682747,0.0001220666534478,0.0001278897019432,0.0001449620162977,0.0001721201465011,0.0002075133108613,0.0002929599682747,0.0003784066256882,0.0004409579202518,0.0004638532831017,0.0004409579202518,0.0002929599682747,0.0001220666534478,0.0165925636940228,0.0004638532831017,194545.9497170032,186745.9497170032
25,0.0620014,32,0.13,8600.0,0.003019207,1.1835,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.42,0.009496105,Loaded,32.96772960582034,0.0004983494010182,2.119627533887144,3270472.6246116944,0.0002827906686727,0.0001319689787139,0.0001371081031769,0.0001521752537267,0.0001761436289528,0.0002073798236933,0.0002827906686727,0.0003582015136521,0.0004134060836187,0.0004336123586315,0.0004134060836187,0.0002827906686727,0.0001319689787139,0.0155390177895507,0.0004336123586315,174993.08921400132,166393.08921400132
26,0.0620014,30,0.57,10800.0,0.003019207,1.03088,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.78,0.00828665,Loaded,41.4013348538209,0.0021850704506183,9.293751494735936,4107105.156489106,0.0002411232126052,0.0001205616063026,0.0001246696434186,0.0001367137988261,0.0001558732832379,0.0001808424094539,0.0002411232126052,0.0003014040157565,0.0003455326263843,0.0003616848189078,0.0003455326263843,0.0002411232126052,0.0001205616063026,0.0137800255613072,0.0003616848189078,204674.38914833457,193874.38914833457
27,0.0620014,28,0.3,5300.0,0.003019207,1.1591,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.88,0.009248711,Loaded,20.31732173381951,0.0011500370792728,4.891448155124177,2015523.8267955792,0.0003664615281688,0.0001954461483567,0.0002012733561156,0.0002183578648137,0.0002455353934165,0.0002809538382628,0.0003664615281688,0.0004519692180749,0.000514565191524,0.000537476907981,0.000514565191524,0.0003664615281688,0.0001954461483567,0.0181085814530316,0.000537476907981,227278.04902617077,221978.04902617077
28,0.0620014,30,0.48,12400.0,0.003019207,1.18573,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.06,0.009455998,Loaded,47.53486594327585,0.0018400593268364,7.826317048198684,4715565.179672677,0.0002236314469429,0.0001118157234714,0.0001156257518566,0.0001267961898741,0.0001445657906329,0.0001677235852072,0.0002236314469429,0.0002795393086787,0.0003204667040117,0.0003354471704144,0.0003204667040117,0.0002236314469429,0.0001118157234714,0.0131380915457056,0.0003354471704144,234531.8305583793,222131.8305583793
29,0.0620014,35,0.36,16300.0,0.003019207,1.16392,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.7,0.009309237,Loaded,62.48534797382228,0.0013800444951273,5.869737786149012,6198686.486182631,0.0001924576039125,8.019066829687607e-05,8.40160713630369e-05,9.523158566433804e-05,0.0001130728924356,0.0001363241361046,0.0001924576039125,0.0002485910717203,0.0002896836221606,0.0003047245395281,0.0002896836221606,0.0001924576039125,8.019066829687607e-05,0.0123855144651833,0.0003047245395281,147225.7111142391,130925.7111142391
30,0.073025,30,0.13,35200.0,0.004188254,1.07078,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.008570785,Loaded,97.2731835270736,0.0003592475527988,1.799656004459138,11365398.76330328,0.0001394861877502,6.974309387514297e-05,7.211953217098242e-05,7.908689671588924e-05,9.01703731302424e-05,0.0001046146408127,0.0001394861877502,0.0001743577346878,0.0001998854787846,0.0002092292816254,0.0001998854787846,0.0001394861877502,6.974309387514297e-05,0.0092968775026595,0.0002092292816254,172212.29478986017,137012.29478986017
31,0.073025,25,0.22,38500.0,0.004188254,1.16392,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.6,0.009303642,Loaded,106.39254448273674,0.0006079573970442,3.0455716998539257,12430904.89736296,0.00013115302765,7.650593279588894e-05,7.836798739874892e-05,8.382725526333472e-05,9.25116963065415e-05,0.0001038294802229,0.00013115302765,0.0001584765750771,0.0001784788000368,0.0001858001225043,0.0001784788000368,0.00013115302765,7.650593279588894e-05,0.0088143765185253,0.0001858001225043,152391.28398978987,113891.28398978987
32,0.073025,26,0.51,26800.0,0.004188254,1.06906,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.00855094,Loaded,74.06026473084012,0.001409355784057,7.060188940570465,8653201.33115136,0.0001585444902496,8.984187780813354e-05,9.21828625588605e-05,9.904628256893956e-05,0.000109964407107,0.0001241931840288,0.0001585444902496,0.0001928957964704,0.0002180426979303,0.0002272471026911,0.0002180426979303,0.0001585444902496,8.984187780813354e-05,0.0096698025897292,0.0002272471026911,211206.17168315625,184406.17168315625
33,0.073025,28,0.36,29300.0,0.004188254,1.05591,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.5,0.008442158,Loaded,80.96887151543342,0.0009948393769814,4.983662781579151,9460402.947863242,0.000151739551645,8.092776087737157e-05,8.334061413677235e-05,9.041474195277502e-05,0.0001016680542052,0.0001163336562612,0.000151739551645,0.0001871454470289,0.0002130643613373,0.0002225513424127,0.0002130643613373,0.000151739551645,8.092776087737157e-05,0.0095723634988421,0.0002225513424127,261113.2869604105,231813.2869604105
34,0.073025,35,0.2,31800.0,0.004188254,1.08514,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.8,0.008672739,Loaded,87.87747830002671,0.0005526885427674,2.7687015453217505,10267604.56457512,0.0001465329631231,6.105540130130775e-05,6.396797859121172e-05,7.250722313187822e-05,8.609119951962967e-05,0.0001037941822122,0.0001465329631231,0.000189271744034,0.0002205587031143,0.0002320105249449,0.0002205587031143,0.0001465329631231,6.105540130130775e-05,0.0097663300850277,0.0002320105249449,157667.13408977038,125867.13408977038
35,0.0889,30,0.4,42200.0,0.006207167,1.06235,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.4,0.008497042,Loaded,78.68691143640892,0.0007458475017669,4.548580823425567,11192426.282714805,0.0001381255195583,6.906275977916036e-05,7.141601625283183e-05,7.831541513410568e-05,8.929077379101888e-05,0.0001035941396687,0.0001381255195583,0.0001726568994479,0.0001979356239825,0.0002071882793374,0.0001979356239825,0.0001381255195583,6.906275977916036e-05,0.0084938312163239,0.0002071882793374,253309.72212229628,211109.72212229628
36,0.0889,25,0.3,52200.0,0.006207167,1.04241,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.008348844,Loaded,97.33309898058164,0.0005593856263251,3.411435617569175,13844659.998997936,0.0001230633150124,7.178693375725757e-05,7.353413407941466e-05,7.865666623131602e-05,8.68054381121942e-05,9.742512438484956e-05,0.0001230633150124,0.00014870150564,0.0001674699637935,0.0001743396962676,0.0001674699637935,0.0001230633150124,7.178693375725757e-05,0.0079378329479431,0.0001743396962676,222305.81321183944,170105.81321183944
37,0.0889,28,0.57,41000.0,0.006207167,1.04893,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.3,0.008398138,Loaded,76.4493689311082,0.0010628326900178,6.481727673381433,10874158.23676083,0.0001394244455351,7.435970428541152e-05,7.657673158121182e-05,8.307672672221476e-05,9.341672578131084e-05,0.0001068920749102,0.0001394244455351,0.00017195681616,0.000195772164348,0.0002044891867848,0.000195772164348,0.0001394244455351,7.435970428541152e-05,0.0084483764114176,0.0002044891867848,271434.70941738796,230434.70941738796
38,0.0889,38,0.43,48400.0,0.006207167,1.1029,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.9,0.008820302,Loaded,90.247547713796,0.0008017860643994,4.889724385182484,12836811.186810346,0.0001275592615026,4.677172921764546e-05,4.952449762640286e-05,5.759520623478318e-05,7.043384958860182e-05,8.716549536015743e-05,0.0001275592615026,0.0001679530276451,0.0001975233167705,0.0002083467937876,0.0001975233167705,0.0001275592615026,4.677172921764546e-05,0.0085127051644333,0.0002083467937876,172991.2426663354,124591.2426663354
39,0.060325,40,1.01,20000.0,0.002858147,1.07132,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.5,0.008567549,Loaded,80.98953622749285,0.0040899715794883,16.925508937538904,7817110.036677608,0.0001650863167648,5.502877225494426e-05,5.87788921447728e-05,6.977368734113274e-05,8.726388072115031e-05,0.0001100575445098,0.0001650863167648,0.0002201150890197,0.0002603989461885,0.0002751438612747,0.0002603989461885,0.0001650863167648,5.502877225494426e-05,0.0118493542077777,0.0002751438612747,227238.0785997813,207238.0785997813
40,0.060325,50,1.23,14900.0,0.002858147,1.05299,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.6,0.008445252,Loaded,60.337204489482176,0.0049808564779908,20.612253458586984,5823746.977324819,0.0001944779320638,3.241298867731565e-05,3.793521771072223e-05,5.41255740282303e-05,7.98807116026305e-05,0.0001134454603706,0.0001944779320638,0.0002755104037571,0.0003348302900995,0.0003565428754504,0.0003348302900995,0.0001944779320638,3.241298867731565e-05,0.0138846905869437,0.0003565428754504,152437.85642172207,137537.85642172207
41,0.060325,45,0.25,16600.0,0.002858147,1.02847,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.9,0.008239051,Loaded,67.22131506881907,0.0010123692028436,4.189482410281907,6488201.330442416,0.0001887835692093,4.719589230233927e-05,5.2020375400596256e-05,6.616504414505633e-05,8.866596273595483e-05,0.0001179897307558,0.0001887835692093,0.0002595774076628,0.0003114020942736,0.0003303712461163,0.0003114020942736,0.0001887835692093,4.719589230233927e-05,0.0132294413501396,0.0003303712461163,239085.371977135,222485.371977135
42,0.060325,48,0.25,18300.0,0.002858147,1.04443,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.00835903,Loaded,74.10542564815596,0.0010123692028436,4.189482410281907,7152655.683560012,0.0001785782989596,3.5715659791934805e-05,4.05835861757385e-05,5.485562418872212e-05,7.755915802595875e-05,0.0001071469793758,0.0001785782989596,0.0002500096185435,0.0003023009737306,0.0003214409381274,0.0003023009737306,0.0001785782989596,3.5715659791934805e-05,0.0130047848630363,0.0003214409381274,190987.60977388787,172687.60977388787
43,0.0318,60,2.2,16500.0,0.000794226,0.90676,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.522246691,0.021393035,Unloaded,240.44919204357456,0.0320598922724766,69.9380137945623,12234054.891177077,0.0001243107976849,0.0,4.235787714461395e-06,1.6654488925075224e-05,3.640978966721223e-05,6.215539884247389e-05,0.0001243107976849,0.0001864661965274,0.0002319671064448,0.0002486215953698,0.0002319671064448,0.0001243107976849,0.0,0.0167367090560831,0.0002486215953698,2110.543853497251,-14389.45614650275
44,0.0318,60,2.09,9300.0,0.000794226,0.9407,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.580778382,0.009618574,Loaded,135.52590824274202,0.0304568976588527,66.44111310483414,6895558.211390714,0.0001725380751457,0.0,5.879092344265478e-06,2.311571894945972e-05,5.053523219731096e-05,8.626903757286631e-05,0.0001725380751457,0.0002588071127185,0.000321960431342,0.0003450761502914,0.000321960431342,0.0001725380751457,0.0,0.0213109861879149,0.0003450761502914,139441.99365179948,130141.99365179948
45,0.0318,60,2.23,8500.0,0.000794226,0.93375,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.597558958,0.011111111,Loaded,123.86776559820504,0.0324970726216467,70.89171398266994,6302391.913636673,0.0001813795291537,0.0,6.18035758399233e-06,2.430024918014409e-05,5.312483412071418e-05,9.068976457688166e-05,0.0001813795291537,0.0002720692937306,0.0003384588091273,0.0003627590583075,0.0003384588091273,0.0001813795291537,0.0,0.0221512896191012,0.0003627590583075,172611.4130992668,164111.4130992668
46,0.0318,60,1.2,14000.0,0.000794226,0.9232,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.729104614,0.013764511,Loaded,204.01749627939657,0.0174872139668054,38.14800752430669,10380410.210695695,0.0001381804331854,0.0,4.708384083811196e-06,1.8512667740905668e-05,4.047211185270975e-05,6.909021659270127e-05,0.0001381804331854,0.0002072706497781,0.0002578481986298,0.0002763608663708,0.0002578481986298,0.0001381804331854,0.0,0.0180503667110646,0.0002763608663708,192302.5778171839,178302.5778171839
47,0.0318,60,1.31,2300.0,0.000794226,0.95377,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.549302496,0.007131012,Loaded,33.51716010304372,0.0190902085804292,41.6449082140348,1705353.1060428647,0.0003861827427281,0.0,1.3158857859883604e-05,5.1738677022424205e-05,0.0001131103065678,0.000193091371364,0.0003861827427281,0.0005792741140922,0.0007206268084339,0.0007723654854563,0.0007206268084339,0.0003861827427281,0.0,0.0417986957070831,0.0007723654854563,181433.32346441995,179133.32346441995
48,0.0318,60,2.45,8300.0,0.000794226,0.9323,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.405790016,0.011442786,Loaded,120.95322993707084,0.0357030618488944,77.88551536212617,6154100.339198163,0.000183512360166,0.0,6.253032038401134e-06,2.458599435381156e-05,5.374952586108871e-05,9.175618008302626e-05,0.000183512360166,0.000275268540249,0.0003424387259782,0.0003670247203321,0.0003424387259782,0.000183512360166,0.0,0.0223542171590132,0.0003670247203321,177018.2827414939,168718.2827414939
49,0.0318,60,2.14,10500.0,0.000794226,0.94658,40.0,0,1,1029.0,2.5e-05,0.015,9.81,5.918472435,0.008457711,Unloaded,153.01312220954742,0.0311855315741363,68.03061341834696,7785307.658021772,0.0001609299880933,0.0,5.483556369591958e-06,2.1560530173785533e-05,4.7135302216280296e-05,8.046499404668941e-05,0.0001609299880933,0.00024139498214,0.0003002994460129,0.0003218599761867,0.0003002994460129,0.0001609299880933,0.0,0.0202087009767899,0.0003218599761867,1226.2597934630699,-9273.74020653693
50,0.0318,60,7.14,9000.0,0.000794226,0.92561,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.202407825,0.013101161,Loaded,131.15410475104065,0.1040489231024922,226.9806447696248,6673120.8497329485,0.0001715263951595,0.0,5.8446201846761655e-06,2.298017953181054e-05,5.0238917989746605e-05,8.576319757977128e-05,0.0001715263951595,0.0002572895927393,0.0003200726107872,0.000343052790319,0.0003200726107872,0.0001715263951595,0.0,0.0212166713643849,0.000343052790319,235255.252092478,226255.252092478
