Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness
21,0.0889,45,0.03,5100.0,0.006207167,1.02835,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.41,0.008243162,Loaded,9.509555647528092,5.5938562632518183e-05,0.3411435617569175,1352639.1953043956,0.0004851609033634461,0.00012129022584086153,0.00013368881851508047,0.00017003965293663253,0.00022786547981228306,0.00030322556460215383,0.0004851609033634461,0.0006670962421247384,0.0008002821537902597,0.0008490315808860307,0.0008002821537902597,0.0004851609033634461,0.00012129022584086153,0.019503457338399723,0.0008490315808860307
22,0.0889,50,0.22,29100.0,0.006207167,1.0545,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.35,0.008414693,Loaded,54.26040575354264,0.0004102161259718,2.5017194528840614,7718000.114383904,0.00017277295617429986,2.8795492695716637e-05,3.370140579674521e-05,4.808481522940057e-05,7.096551541055517e-05,0.00010078422443500826,0.00017277295617429986,0.00024476168791359146,0.0002974610971191992,0.0003167504196528831,0.0002974610971191992,0.00017277295617429986,2.8795492695716637e-05,0.010349113521331797,0.0003167504196528831
23,0.0889,30,0.06,13900.0,0.006207167,1.02484,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.12,0.00819633,Loaded,25.91820068640009,0.00011187712526503637,0.682287123513835,3686604.865633549,0.0002701853272038341,0.00013509266360191706,0.00013969583448856124,0.00015319164865966857,0.0001746603886823655,0.00020263899540287557,0.0002701853272038341,0.00033773165900479265,0.00038717900574799965,0.00040527799080575114,0.0003871790057479997,0.0002701853272038341,0.00013509266360191706,0.011863171726432059,0.00040527799080575114
24,0.060325,35,0.16,7800.0,0.002858147,1.10194,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.36,0.008844822,Loaded,31.585919128722214,0.0006479162898199428,2.6812687425804205,3048672.914304268,0.0002929599682747793,0.00012206665344782469,0.00012788970194327527,0.00014496201629770475,0.00017212014650119212,0.000207513310861302,0.0002929599682747793,0.00037840662568825655,0.0004409579202518538,0.0004638532831017339,0.0004409579202518538,0.0002929599682747793,0.00012206665344782469,0.01659256369402289,0.0004638532831017339
25,0.0620014,32,0.13,8600.0,0.003019207,1.1835,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.42,0.009496105,Loaded,32.96772960582034,0.0004983494010182145,2.1196275338871438,3270472.6246116944,0.0002827906686727232,0.0001319689787139375,0.00013710810317696943,0.00015217525372671442,0.0001761436289528508,0.00020737982369333036,0.0002827906686727232,0.000358201513652116,0.000413406083618732,0.00043361235863150887,0.00041340608361873206,0.0002827906686727232,0.0001319689787139375,0.015539017789550713,0.00043361235863150887
26,0.0620014,30,0.57,10800.0,0.003019207,1.03088,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.78,0.00828665,Loaded,41.4013348538209,0.0021850704506183247,9.293751494735936,4107105.156489106,0.00024112321260525397,0.00012056160630262699,0.00012466964341865166,0.00013671379882612092,0.00015587328323792362,0.0001808424094539405,0.00024112321260525397,0.00030140401575656745,0.000345532626384387,0.000361684818907881,0.0003455326263843871,0.00024112321260525397,0.00012056160630262699,0.013780025561307283,0.000361684818907881
27,0.0620014,28,0.3,5300.0,0.003019207,1.1591,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.88,0.009248711,Loaded,20.31732173381951,0.0011500370792728025,4.891448155124177,2015523.8267955792,0.0003664615281688714,0.00019544614835673139,0.0002012733561156912,0.00021835786481371372,0.00024553539341651417,0.0002809538382628014,0.0003664615281688714,0.0004519692180749414,0.0005145651915240291,0.0005374769079810114,0.0005145651915240291,0.0003664615281688714,0.00019544614835673139,0.01810858145303161,0.0005374769079810114
28,0.0620014,30,0.48,12400.0,0.003019207,1.18573,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.06,0.009455998,Loaded,47.53486594327585,0.001840059326836484,7.826317048198684,4715565.179672677,0.0002236314469429602,0.0001118157234714801,0.00011562575185666082,0.0001267961898741225,0.00014456579063299683,0.00016772358520722013,0.0002236314469429602,0.00027953930867870026,0.00032046670401179785,0.00033544717041444027,0.0003204667040117979,0.0002236314469429602,0.0001118157234714801,0.013138091545705624,0.00033544717041444027
29,0.0620014,35,0.36,16300.0,0.003019207,1.16392,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.7,0.009309237,Loaded,62.48534797382228,0.0013800444951273631,5.869737786149012,6198686.486182631,0.00019245760391250257,8.019066829687607e-05,8.40160713630369e-05,9.523158566433805e-05,0.00011307289243565954,0.00013632413610468932,0.00019245760391250257,0.00024859107172031577,0.00028968362216066706,0.0003047245395281291,0.00028968362216066706,0.00019245760391250257,8.019066829687607e-05,0.012385514465183394,0.0003047245395281291
30,0.073025,30,0.13,35200.0,0.004188254,1.07078,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.008570785,Loaded,97.2731835270736,0.00035924755279885133,1.7996560044591379,11365398.76330328,0.00013948618775028594,6.974309387514297e-05,7.211953217098242e-05,7.908689671588924e-05,9.017037313024239e-05,0.00010461464081271445,0.00013948618775028594,0.0001743577346878574,0.00019988547878468262,0.0002092292816254289,0.00019988547878468265,0.00013948618775028594,6.974309387514297e-05,0.00929687750265954,0.0002092292816254289
